#assembly_accession	genome_size	thermo_class	IR Counts	IR Density
GCF_000011705.1	5835527	Mesophiles	1195	204.7801338251027
GCF_018289035.1	6827031	Mesophiles	413	60.49481831853407
GCF_022343245.1	6357869	Mesophiles	624	98.14609266092145
GCF_018138125.1	3029824	Mesophiles	498	164.36598297458863
GCA_037081885.1	6259726	Mesophiles	635	101.44213979972925
GCF_021183785.1	5412667	Mesophiles	325	60.04433673824752
GCF_024172365.1	2619298	Mesophiles	268	102.31749117511639
GCF_000819565.1	4969388	Mesophiles	295	59.363446766483115
GCF_001267435.1	2623349	Thermophiles	216	82.33750065279153
GCF_016894165.1	4080024	Mesophiles	726	177.94012976394256
GCA_000963575.1	5107633	Mesophiles	720	140.96549223485712
GCF_020524085.2	3953322	Mesophiles	790	199.8319388099426
GCF_009740005.1	5855605	Mesophiles	1567	267.6068484810707
GCF_022811105.1	7341949	Mesophiles	577	78.58948625221994
GCF_001580475.1	3261404	Mesophiles	464	142.27001622614065
GCF_002157145.1	4122625	Mesophiles	335	81.25890664321882
GCF_009914055.1	4784919	Mesophiles	410	85.68588099401474
GCA_028540965.1	3140777	Mesophiles	585	186.25964212040523
GCF_949769195.1	4895372	Thermophiles	223	45.55322864125546
GCF_000018285.1	5174581	Mesophiles	825	159.43319855269442
GCF_013341395.1	2644333	Mesophiles	350	132.35851914263446
GCA_000972725.1	2561368	Mesophiles	256	99.94659104041278
GCF_015288985.1	5184474	Mesophiles	630	121.51666687883862
GCF_034479815.1	3811169	Mesophiles	655	171.86327869480468
GCF_003146655.1	6084196	Mesophiles	736	120.96914695055847
GCF_000025805.1	5097447	Mesophiles	1302	255.42197888472407
GCF_022828475.1	6878695	Mesophiles	780	113.39360154796803
GCF_030060455.1	4385166	Mesophiles	300	68.41246146668108
GCF_019469365.1	2151073	Mesophiles	273	126.91340554225728
GCF_009497895.1	4550643	Mesophiles	313	68.78148868192912
GCF_009913575.1	4047680	Mesophiles	742	183.31488655229663
GCF_020906315.1	4801863	Mesophiles	229	47.68982372050181
GCF_016756255.1	5532113	Mesophiles	324	58.56713339008079
GCF_000015465.1	5232401	Mesophiles	1056	201.81939419398475
GCF_029024945.1	2831135	Mesophiles	503	177.66726065694502
GCF_900636405.1	4857140	Mesophiles	463	95.32358548446204
GCF_022558505.1	5319698	Mesophiles	394	74.06435478104208
GCF_025118245.1	4299756	Mesophiles	420	97.67996137455242
GCA_007814275.1	2770002	Mesophiles	352	127.07572052294547
GCF_003112995.3	3819770	Mesophiles	512	134.03948405270475
GCF_001975025.1	8625867	Mesophiles	1083	125.55259662593916
GCF_010730955.1	6321928	Mesophiles	592	93.64231924185154
GCF_023206215.1	4453070	Mesophiles	552	123.95942574448638
GCF_024204765.1	2734660	Mesophiles	280	102.38932810660192
GCF_034440835.1	4175036	Mesophiles	732	175.32782950853598
GCF_013366585.2	5234636	Mesophiles	628	119.97013736962799
GCA_030014105.1	2526290	Mesophiles	252	99.75101829164507
GCF_028622975.1	5309578	Mesophiles	1366	257.27091682239154
GCF_018771645.1	2424424	Thermophiles	227	93.63048707651797
GCF_030544955.1	4993408	Mesophiles	615	123.16237727820358
GCA_019670565.1	4616867	Mesophiles	613	132.7740218637444
GCF_002028405.1	3343428	Mesophiles	365	109.1693914150387
GCF_024749185.1	5827164	Mesophiles	485	83.23088212379126
GCF_000265385.1	3520671	Mesophiles	327	92.88002201852998
GCF_021249385.1	3668757	Mesophiles	319	86.95043035011585
GCF_900660755.1	1465667	Mesophiles	186	126.90467889363683
GCA_013283995.1	5891206	Mesophiles	601	102.01646318258095
GCF_020844025.1	2539320	Mesophiles	132	51.98242049052502
GCF_001305575.3	4265317	Mesophiles	237	55.564451598790896
GCF_003325455.1	3432872	Mesophiles	355	103.4119536061933
GCF_013746655.1	5094503	Mesophiles	497	97.55613059801908
GCF_001596075.2	5513862	Mesophiles	653	118.428789113692
GCF_017161425.1	3424851	Mesophiles	302	88.17901859088177
GCF_000751035.1	2597508	Mesophiles	286	110.10553191751478
GCF_002892225.1	4648923	Mesophiles	315	67.75762902504516
GCF_008000815.1	6405582	Mesophiles	749	116.92926575602341
GCF_006385935.1	5712573	Mesophiles	1433	250.85018607202045
GCF_014879275.1	4200880	Mesophiles	747	177.81988535735368
GCF_902381745.1	3357017	Mesophiles	524	156.09095813336663
GCF_002381305.1	4463194	Mesophiles	270	60.49479363881561
GCF_024220155.1	4030831	Mesophiles	740	183.5849729249378
GCF_036420075.1	2325374	Mesophiles	342	147.07311598048315
GCF_000184705.1	2844696	Thermophiles	542	190.53002500091398
GCF_020827275.1	9365783	Mesophiles	473	50.50298517486472
GCF_029395675.1	3495359	Mesophiles	405	115.86792658493734
GCA_029537095.1	4100908	Mesophiles	738	179.96014541169907
GCF_002080475.1	4586728	Mesophiles	610	132.99240765966502
GCA_011456075.1	4356270	Mesophiles	743	170.5587578364059
GCA_028540905.1	2891839	Mesophiles	540	186.73238724562466
GCF_006542315.2	5327410	Mesophiles	433	81.27776912233149
GCF_030295765.1	4113600	Mesophiles	374	90.91793076623881
GCF_036352095.1	6983045	Mesophiles	603	86.35201405690498
GCF_900519455.1	1876981	Mesophiles	216	115.07841581774136
GCF_002370195.2	3488104	Thermophiles	432	123.84951824830911
GCF_019272935.1	3963526	Thermophiles	539	135.99002504335786
GCF_029537415.1	4299854	Mesophiles	751	174.65709300827424
GCF_024362715.1	3951520	Mesophiles	653	165.2528647204114
GCF_000024385.1	5639016	Thermophiles	788	139.74069234774294
GCA_029536755.1	4067763	Mesophiles	709	174.29727346455533
GCF_004119875.1	4027238	Mesophiles	710	176.29948863215932
GCF_020139215.1	3367203	Mesophiles	792	235.21005416067877
GCF_021654895.1	5684796	Mesophiles	1479	260.16764717678524
GCF_030053655.1	4331506	Mesophiles	750	173.1499390743081
GCF_016598595.1	4787079	Mesophiles	362	75.62022686485851
GCF_013394245.1	5651595	Mesophiles	1496	264.7040348786493
GCF_023824135.1	6101412	Mesophiles	1578	258.62865841546187
GCF_001887265.1	4095174	Mesophiles	392	95.72242839986775
GCF_001578515.1	4801807	Mesophiles	506	105.37699661814813
GCF_012932215.1	3962631	Mesophiles	145	36.59185021264912
GCF_014076435.1	3915662	Mesophiles	544	138.92925385286065
GCF_002356375.1	1387782	Mesophiles	103	74.21914969353976
GCF_019329505.1	2735368	Mesophiles	279	101.99724497764103
GCF_003184225.1	4040837	Mesophiles	746	184.61521709487417
GCF_020138355.1	3291309	Mesophiles	754	229.0881834552757
GCF_023573625.1	2470932	Mesophiles	336	135.98107920412218
GCF_027945115.1	6055697	Mesophiles	1570	259.25999930313554
GCF_963682195.1	4204558	Mesophiles	178	42.33500881662234
GCF_025149785.1	3373066	Mesophiles	254	75.30241032935614
GCF_002078255.1	2910005	Mesophiles	345	118.55649732560597
GCF_030122965.1	3781803	Mesophiles	617	163.1496934134327
GCF_033947525.1	4278751	Mesophiles	561	131.1130280775862
GCF_002217795.2	4852135	Mesophiles	602	124.06909535699234
GCF_000008365.1	777079	Mesophiles	231	297.26707323193654
GCF_019448255.1	2852278	Mesophiles	92	32.25492045305542
GCF_000240325.1	5974109	Mesophiles	583	97.58777417686889
GCF_013462805.1	3257037	Mesophiles	147	45.13304577135599
GCF_024347235.1	4991656	Mesophiles	612	122.60460256075339
GCA_000292415.1	5382319	Mesophiles	1458	270.8869541177325
GCF_000224085.1	3842422	Mesophiles	235	61.15934168605114
GCF_020905995.1	4934797	Mesophiles	237	48.026291659008464
GCF_002803985.1	1031560	Mesophiles	600	581.643336306177
GCF_002838765.1	2653010	Mesophiles	297	111.94831530978021
GCF_014171535.1	4070574	Mesophiles	736	180.80988086692443
GCF_000818035.1	2256647	Mesophiles	467	206.94419641175602
GCF_030123345.1	5085204	Mesophiles	724	142.37383593657205
GCF_029714185.1	4237314	Mesophiles	593	139.94714576262226
GCA_029761975.1	3963991	Mesophiles	681	171.79655554212914
GCF_024917695.1	5591370	Mesophiles	665	118.93328468693718
GCF_002312985.1	3446916	Mesophiles	832	241.3751887194234
GCF_000835205.1	7896538	Mesophiles	1120	141.83430764215913
GCF_009664085.1	2958290	Thermophiles	180	60.845961687326124
GCF_000400955.1	1107344	Mesophiles	279	251.95422560649627
GCF_009650135.1	2346037	Mesophiles	104	44.33007663561998
GCF_002441955.1	5080660	Mesophiles	322	63.377592674967424
GCF_024204885.1	2518699	Mesophiles	268	106.40413959746678
GCF_000194135.1	1694430	Thermophiles	105	61.96774136435261
GCF_012913625.1	6530403	Mesophiles	571	87.43717654178464
GCF_002346125.1	5747822	Mesophiles	1185	206.16504825653962
GCF_000024205.1	4545624	Mesophiles	491	108.01597316452043
GCF_009799965.1	5673366	Mesophiles	1514	266.8609781212776
GCF_021654875.1	5669915	Mesophiles	1478	260.67410181634114
GCF_001522105.2	7319578	Mesophiles	1193	162.98753835262087
GCA_037094725.1	5786923	Mesophiles	503	86.92011281297505
GCF_002139935.1	1594554	Mesophiles	144	90.30738375746446
GCF_001989575.1	1745789	Mesophiles	371	212.51136305704756
GCF_000967915.1	1877792	Mesophiles	188	100.11758490823264
GCF_013267235.1	6068562	Mesophiles	1608	264.9721630923438
GCF_020906175.1	4638563	Mesophiles	231	49.799905703555176
GCF_001275345.1	2854447	Mesophiles	415	145.3871800737586
GCF_000568815.1	3175729	Mesophiles	290	91.3176155773997
GCF_020138415.1	3516517	Mesophiles	862	245.12891591310378
GCF_024582835.1	4235444	Mesophiles	580	136.93959830421556
GCA_028541245.1	3019354	Mesophiles	567	187.78851370193757
GCF_021398855.1	6164383	Mesophiles	663	107.55334313263793
GCF_036347695.1	3569162	Mesophiles	905	253.56091990220673
GCF_001604995.1	4195195	Mesophiles	737	175.67717352828652
GCF_000961095.1	5749967	Mesophiles	415	72.17432726135645
GCF_010450915.1	7105405	Mesophiles	617	86.83530354708844
GCF_009906955.1	5039229	Mesophiles	457	90.68847635223563
GCF_021052265.1	9825352	Mesophiles	1003	102.08285667526212
GCF_018127785.1	3304345	Mesophiles	221	66.88163614876775
GCF_001941425.1	2790185	Mesophiles	166	59.49426292521822
GCF_003991875.1	3555647	Mesophiles	424	119.24693311793887
GCF_004119635.1	4157489	Mesophiles	741	178.23258221488982
GCF_018324685.1	7044238	Mesophiles	1036	147.07055610557168
GCF_022700955.1	4215582	Mesophiles	746	176.96251668215683
GCF_026650945.1	5450588	Psychrophiles	1083	198.6941592356641
GCF_963663755.1	3298967	Mesophiles	375	113.67194640019133
GCF_000152245.2	4316707	Mesophiles	550	127.41193692321485
GCF_002243495.1	4325818	Mesophiles	642	148.411236903633
GCF_001887285.1	3410829	Mesophiles	340	99.6825112018222
GCF_013388335.1	4215613	Mesophiles	746	176.96121536772944
GCF_017377355.1	6908045	Mesophiles	763	110.45093076261084
GCF_020819895.2	3334396	Mesophiles	766	229.7267631079212
GCF_030704515.1	3771060	Mesophiles	480	127.28516650490843
GCF_000169195.2	3552226	Thermophiles	509	143.29043253441645
GCF_020138655.1	3046713	Mesophiles	661	216.95512508070172
GCF_025558605.1	2225204	Mesophiles	308	138.4142757248324
GCF_036010465.1	7366692	Mesophiles	971	131.8095014695877
GCA_011801415.1	5097912	Mesophiles	894	175.3659145155899
GCA_016811135.4	5007270	Mesophiles	240	47.93030933023384
GCF_014189415.1	6571273	Mesophiles	580	88.26295909483596
GCF_002355535.1	1622386	Mesophiles	178	109.71495069607356
GCF_000219535.2	5153859	Mesophiles	335	64.99983798547845
GCA_000696485.1	4074048	Mesophiles	383	94.00969257112337
GCF_032738105.1	5347112	Mesophiles	667	124.74023360647766
GCF_000300175.1	4674885	Mesophiles	504	107.81013864512175
GCF_006094375.1	2491058	Mesophiles	258	103.57045078837987
GCF_007970185.1	7797595	Mesophiles	482	61.8139310902913
GCF_023078435.1	4218183	Mesophiles	741	175.66805423093308
GCF_000277145.1	5409696	Mesophiles	331	61.18643265721401
GCF_015243435.1	2528549	Mesophiles	314	124.18189246085403
GCF_003665335.1	4172713	Mesophiles	730	174.94613216868737
GCA_016855305.1	2475319	Mesophiles	256	103.42101361481086
GCF_016027815.1	7274508	Mesophiles	708	97.32616968735205
GCF_018987285.1	5483852	Mesophiles	459	83.70028950453076
GCA_029689985.1	2614671	Mesophiles	311	118.94421898586859
GCF_000299955.1	4601785	Mesophiles	501	108.87079687556025
GCF_961514395.1	4105500	Thermophiles	351	85.49506759225429
GCF_001280925.1	5088873	Mesophiles	613	120.45889138911504
GCF_014334295.1	2494355	Mesophiles	237	95.01454283772759
GCF_016925395.1	5603348	Mesophiles	688	122.78373572371375
GCF_017309605.1	5102941	Mesophiles	659	129.14121484061837
GCF_003057965.1	1774794	Thermophiles	94	52.96389327437438
GCF_024599955.1	3594177	Mesophiles	900	250.4050301362454
GCF_016845925.1	6901580	Mesophiles	667	96.64453646846084
GCF_033344015.1	5645692	Mesophiles	592	104.8587135111161
GCF_000009365.1	3120143	Mesophiles	254	81.40652527784785
GCF_034054115.1	4211317	Mesophiles	742	176.1919133610697
GCF_023547085.1	2634259	Mesophiles	279	105.9121369614757
GCF_025142595.1	4314694	Mesophiles	305	70.6886745618577
GCF_030506325.1	7291608	Mesophiles	217	29.76023944238363
GCF_002892245.1	4239045	Mesophiles	273	64.40129793385067
GCF_022870665.1	5257024	Mesophiles	1353	257.3699492336348
GCF_900475545.1	3291135	Mesophiles	759	230.6195279136225
GCF_010729105.1	6008916	Mesophiles	387	64.40429521730708
GCF_018449005.1	4842187	Mesophiles	423	87.35722102430162
GCF_000018865.1	5258541	Thermophiles	698	132.7364377305416
GCF_000218625.1	2526590	Thermophiles	228	90.24020517772966
GCF_014844555.1	3261133	Mesophiles	464	142.2818388578448
GCF_024134505.1	5221581	Mesophiles	1407	269.45861799328594
GCF_001761385.1	4944132	Mesophiles	318	64.31867110344142
GCF_004114715.1	3664215	Thermophiles	536	146.2796260590604
GCF_001294575.1	5149788	Mesophiles	493	95.73209615619129
GCF_030389005.1	4630814	Mesophiles	929	200.6126784621451
GCA_016856245.1	2488708	Mesophiles	251	100.8555443225963
GCF_016889165.1	2534934	Mesophiles	272	107.30062400046707
GCF_008843145.1	5869433	Mesophiles	476	81.09812310661013
GCF_017798205.1	3252335	Mesophiles	213	65.49140848036872
GCF_024086695.1	5027483	Mesophiles	592	117.75276017840339
GCF_001886695.1	2724951	Mesophiles	125	45.87238449425329
GCF_022429605.1	3081363	Mesophiles	722	234.31189379505108
GCF_000179915.2	5095226	Mesophiles	469	92.04694747593139
GCF_016803475.1	3208574	Psychrophiles	455	141.8075444106946
GCF_024204745.1	2573209	Mesophiles	293	113.86560516460186
GCF_024399335.1	3604182	Mesophiles	384	106.54289933194272
GCF_002166795.1	6247694	Mesophiles	369	59.06179143856917
GCF_017377395.1	8027777	Mesophiles	1453	180.9965573283862
GCF_002117405.1	4707971	Mesophiles	509	108.11451472407116
GCF_030123245.1	5249694	Mesophiles	599	114.1018886053168
GCF_002346085.1	5732597	Mesophiles	1172	204.44486155227727
GCF_015286025.1	5494067	Mesophiles	657	119.5835434842713
GCF_000767275.3	2237453	Thermophiles	196	87.59960544422609
GCF_000016505.1	4023800	Mesophiles	598	148.6157363686068
GCA_000021225.1	5599857	Mesophiles	1474	263.22100725072085
GCF_000143605.1	5486649	Mesophiles	1490	271.5683106391533
GCF_008122265.1	4543926	Mesophiles	227	49.95679947252662
GCF_020525805.1	5507945	Mesophiles	660	119.82690458964278
GCF_025148445.1	2521323	Mesophiles	198	78.53020021631501
GCF_024760145.1	6825630	Mesophiles	366	53.621423956469954
GCF_002157165.1	4058023	Mesophiles	296	72.94192270472593
GCF_001466725.1	4378835	Mesophiles	335	76.5043670291299
GCA_036870955.1	4494435	Mesophiles	466	103.68377782746886
GCF_004101445.1	4147136	Mesophiles	729	175.783962715474
GCA_002243705.1	2812123	Thermophiles	392	139.39646309923143
GCA_003667865.1	4591517	Mesophiles	561	122.18184099067912
GCF_029537035.1	4394716	Mesophiles	695	158.1444625773315
GCF_033547075.1	3185123	Psychrophiles	384	120.56049326823485
GCF_030295035.1	2197308	Thermophiles	286	130.15926761291544
GCF_002148175.1	5445538	Mesophiles	333	61.150982694455536
GCF_000287215.2	4788430	Mesophiles	890	185.86467798422447
GCF_029677885.1	1026425	Mesophiles	237	230.89850695374722
GCA_002113805.1	3929787	Mesophiles	581	147.8451631093492
GCF_022846195.1	7019963	Mesophiles	652	92.87798240532037
GCA_003129525.1	4287191	Mesophiles	855	199.43128262771592
GCF_016028295.1	2216575	Mesophiles	146	65.86738549338506
GCF_000243155.2	4321753	Mesophiles	493	114.07408058720617
GCF_020783335.1	4810254	Mesophiles	444	92.30281810482357
GCF_000260965.1	2745290	Mesophiles	158	57.55311824980239
GCA_036670035.1	3242608	Mesophiles	579	178.55997394689706
GCF_032598785.1	4124338	Mesophiles	922	223.55102806801963
GCF_007923045.3	5288357	Mesophiles	812	153.54485334481012
GCF_021283055.2	6352377	Mesophiles	672	105.78717226638155
GCF_020905715.1	4686063	Mesophiles	224	47.80132063952192
GCA_023702615.1	3501357	Mesophiles	225	64.26079945575387
GCA_025272975.1	2486324	Mesophiles	314	126.29086152890774
GCF_026639155.1	4060823	Mesophiles	733	180.50528181110084
GCF_001703515.1	2578375	Mesophiles	281	108.98337130944878
GCF_002346185.1	5774312	Mesophiles	1171	202.79472255742328
GCF_963692685.1	5128973	Mesophiles	368	71.74925662505925
GCF_000828635.1	3802648	Mesophiles	259	68.11043251965472
GCF_024172425.1	2571392	Mesophiles	242	94.1124495992832
GCF_000016965.1	6000632	Mesophiles	923	153.81713126217372
GCF_001889305.1	1521287	Mesophiles	140	92.02734263817412
GCF_001611675.1	4829559	Mesophiles	573	118.64437311978175
GCF_000183725.1	2819357	Mesophiles	119	42.20820562986525
GCF_025884515.1	1611024	Mesophiles	265	164.49165251417733
GCF_029677745.1	1042884	Mesophiles	238	228.21330080814357
GCF_003233695.1	4018049	Mesophiles	518	128.91828845292827
GCF_016066695.1	5685062	Mesophiles	666	117.14911816265152
GCF_002076895.1	4661274	Psychrophiles	616	132.15271189807765
GCF_029691895.1	2540654	Mesophiles	284	111.78224189519706
GCF_021442105.1	2580024	Mesophiles	270	104.65018930056465
GCF_014844255.1	3221312	Mesophiles	445	138.142471142193
GCA_029762335.1	3772858	Mesophiles	598	158.50053195747097
GCA_029168375.1	3818610	Mesophiles	624	163.41024613668324
GCF_001267275.1	2391994	Mesophiles	271	113.29459856504657
GCF_001854085.1	3343822	Mesophiles	765	228.78012047291992
GCF_004135935.1	3298588	Mesophiles	217	65.78572407345203
GCF_012584515.1	3837686	Psychrophiles	203	52.896458959904486
GCA_034422855.1	2646479	Mesophiles	252	95.22085759985248
GCF_002250965.2	4303547	Mesophiles	969	225.1631038303985
GCF_002309555.1	5751088	Mesophiles	644	111.97881166137607
GCF_003584645.1	6088916	Mesophiles	364	59.7807557207227
GCF_015160855.1	9959088	Mesophiles	973	97.69970904966398
GCF_001685465.1	4926076	Mesophiles	829	168.28810598943255
GCF_024799885.1	4243381	Mesophiles	737	173.68225950014858
GCF_024296885.1	5537675	Mesophiles	1473	265.9961084751272
GCF_028748305.1	2569107	Mesophiles	188	73.17717790656442
GCF_000196615.1	5372268	Mesophiles	575	107.03114587730917
GCF_020525525.1	5482753	Mesophiles	638	116.36489916653186
GCF_008083195.1	3181530	Mesophiles	290	91.15111282936198
GCF_022700755.1	3937910	Mesophiles	633	160.74516685246743
GCF_003111685.1	5165968	Mesophiles	483	93.49651410926278
GCF_017355025.1	2390652	Mesophiles	295	123.39729914684362
GCA_001267235.1	2400551	Mesophiles	278	115.80674603455623
GCF_021654715.1	4394709	Mesophiles	696	158.37226082546078
GCF_001579945.1	3467246	Mesophiles	229	66.04665489555688
GCF_001701005.1	2645106	Mesophiles	262	99.05085089217597
GCF_002762215.1	6398100	Mesophiles	481	75.17856863756428
GCF_932126575.1	4537892	Mesophiles	323	71.17842381440545
GCA_037081805.1	3636092	Mesophiles	933	256.59416758431854
GCF_001702135.1	1452432	Mesophiles	268	184.51810480628353
GCF_002028345.1	1364757	Mesophiles	370	271.11053469592025
GCF_006742345.1	4989532	Mesophiles	322	64.5351107077778
GCF_016756155.1	5762339	Mesophiles	354	61.43338668551087
GCF_001455325.1	4131541	Mesophiles	630	152.48547696852094
GCF_033403035.1	4217171	Mesophiles	746	176.89583846611865
GCF_028657945.1	6450155	Mesophiles	609	94.41633573146692
GCF_000019785.1	4909403	Mesophiles	347	70.68069172565382
GCF_014131795.1	4705596	Mesophiles	950	201.8872848412826
GCA_036513035.1	3945029	Mesophiles	487	123.44649430967428
GCF_028201735.1	4025528	Mesophiles	242	60.11633753385891
GCF_030167035.1	5678058	Mesophiles	1549	272.8045398620444
GCF_015326725.1	3789050	Thermophiles	522	137.76540293741175
GCF_007752345.1	5214061	Mesophiles	263	50.440529943934294
GCF_003711025.1	4476034	Mesophiles	703	157.05868185987865
GCF_007641255.1	5316008	Mesophiles	723	136.00431000103836
GCF_023278485.2	5405563	Mesophiles	329	60.8632255326596
GCF_008728195.1	6173065	Mesophiles	564	91.36466244888074
GCF_015218165.1	4280081	Mesophiles	690	161.21190229811072
GCF_009913595.1	4145782	Mesophiles	729	175.8413732318776
GCA_029762295.1	3977552	Mesophiles	688	172.97071163368827
GCF_015285825.1	5493162	Mesophiles	656	119.4212003942356
GCF_018324505.1	4318221	Mesophiles	698	161.64063858704776
GCF_019329805.1	2726087	Mesophiles	279	102.3444959753669
GCF_004119615.1	4012178	Mesophiles	701	174.71807083334787
GCF_000746525.1	5764622	Mesophiles	565	98.01163025086467
GCF_014961145.1	2120336	Mesophiles	90	42.44610288180741
GCF_029233855.1	3650743	Mesophiles	952	260.7688352754494
GCF_001988955.1	5797678	Mesophiles	354	61.058927384376986
GCF_012275205.1	6468885	Mesophiles	965	149.17563073079828
GCF_000511305.1	5590512	Mesophiles	564	100.88521409130327
GCF_001953055.1	3357577	Mesophiles	172	51.22741786711072
GCF_016756175.1	5669131	Mesophiles	355	62.61982656601162
GCF_900476435.1	4353505	Psychrophiles	564	129.55078723924746
GCF_015169995.1	5922266	Mesophiles	615	103.84538620858976
GCF_008369725.1	5415779	Psychrophiles	519	95.83108911940461
GCF_000176915.2	3629109	Mesophiles	411	113.25093845348817
GCF_020524205.2	4357233	Mesophiles	885	203.11055204071025
GCF_000828655.1	2014912	Thermophiles	82	40.69656640091478
GCF_025263845.1	6885775	Mesophiles	426	61.866674412103215
GCF_001753225.1	7195716	Mesophiles	678	94.22272919053503
GCF_017086405.1	7319570	Mesophiles	402	54.92125903570838
GCF_022570515.1	4094338	Mesophiles	751	183.42403582703724
GCF_007106885.1	6270897	Mesophiles	629	100.30462946529022
GCF_028609865.1	2567696	Mesophiles	154	59.97594730840411
GCF_002290285.1	6418567	Mesophiles	642	100.02232585559986
GCA_036828685.1	6759232	Mesophiles	632	93.50174694403151
GCF_007567505.1	4912773	Psychrophiles	809	164.6727825608877
GCF_011106835.1	4910425	Mesophiles	603	122.79996130681153
GCF_013458535.1	6165405	Mesophiles	1577	255.78206135687762
GCF_021654995.1	5651786	Mesophiles	1548	273.89572075092724
GCF_001888185.1	4207221	Mesophiles	262	62.2738857787599
GCF_002240415.1	5778702	Mesophiles	315	54.510511183999455
GCF_034554675.1	5479247	Mesophiles	665	121.36704185812394
GCF_029369765.1	6530506	Mesophiles	406	62.169761424306174
GCF_003952265.1	2608471	Mesophiles	396	151.81307363585793
GCF_009189185.2	2699292	Mesophiles	282	104.47183928230069
GCF_002892145.1	4695825	Mesophiles	316	67.29381950988378
GCF_000497485.1	4033459	Mesophiles	731	181.23402270854868
GCF_001186155.3	3330075	Mesophiles	609	182.87876399180197
GCF_010450875.1	3742477	Mesophiles	294	78.55759701395627
GCF_023612095.1	4383751	Mesophiles	604	137.78154826768218
GCF_008632435.1	5638612	Mesophiles	668	118.46887141729206
GCF_033878155.1	5540011	Mesophiles	675	121.84091331226598
GCF_013085545.1	4761435	Mesophiles	332	69.7268785565696
GCF_014489535.1	4948189	Mesophiles	344	69.52038412437358
GCF_025732155.1	4071539	Mesophiles	727	178.55656055363832
GCF_001750165.1	6223983	Mesophiles	664	106.68409602018515
GCA_036322645.1	4342308	Mesophiles	488	112.38263154064613
GCF_020510665.1	3457400	Mesophiles	301	87.05964019205183
GCF_002005405.1	2116498	Mesophiles	279	131.82152782568187
GCF_034479555.1	3595165	Mesophiles	377	104.86305913636787
GCF_001720505.1	4165121	Mesophiles	740	177.66590694484026
GCF_030013985.1	2469476	Mesophiles	255	103.26077273073317
GCA_002951995.1	3660864	Mesophiles	621	169.63208685162846
GCF_035917475.1	11975494	Mesophiles	1078	90.01716338382367
